date,model,question,intent,cited,rate,hits,asks,matched,urls,error,sources
"2026-09-19","gemini:gemini-2.5-flash","Where can I buy a portable Shirodhara machine?","buy","yes","1.00","3","3","source:ageayurveda.com; mention:age ayurveda; mention:surya shirodhara","https://ageayurveda.com/products/surya-shirodhara","","cristalmind.com; massagesupplies.com; indiamart.com; ageayurveda.com; atmiyasurgical.com; etsy.com; chairsthatgive.com; ebay.com; shirobliss.com; thespamart.com; superbmassagetables.com"
"2026-09-19","gemini:gemini-2.5-flash","Which companies make portable Shirodhara equipment?","buy","yes","1.00","3","3","source:ageayurveda.com; mention:age ayurveda; mention:surya shirodhara","https://ageayurveda.com/products/surya-shirodhara; https://ageayurveda.com/blogs/news/introducing-the-worlds-first-patented-portable-shirodhara-device","","ageayurveda.com; cristalmind.com; ajengineer.co.in; vedanjaliwellness.com; shirobliss.com; ayurvedengineering.com; joyfulbelly.com"
"2026-09-19","gemini:gemini-2.5-flash","Is there a Shirodhara device that works without plumbing?","buy","yes","1.00","3","3","source:ageayurveda.com; mention:surya shirodhara","https://ageayurveda.com/blogs/news/introducing-the-worlds-first-patented-portable-shirodhara-device; https://ageayurveda.com/products/surya-shirodhara","","ageayurveda.com; facebook.com; shirobliss.com; cristalmind.com; esteemservices.in; artofvedas.com"
"2026-09-19","gemini:gemini-2.5-flash","How much does a portable Shirodhara machine cost?","buy","yes","0.33","1","3","source:ageayurveda.com","https://ageayurveda.com/products/surya-shirodhara","","indiamart.com; ajengineer.co.in; massagesupplies.com; ebay.com; atmiyasurgical.com; etsy.com; cristalmind.com; ageayurveda.com"
"2026-09-19","gemini:gemini-2.5-flash","What should I look for when buying a Shirodhara pot?","buy","no","0.00","0","3","","","","artofvedas.com; holistic-essentials.com; ayurvedapura.com; indiamart.com; easyayurveda.com; massagesupplies.com; etsy.com; colettepark.co.uk; atmiyasurgical.com; ebay.com; copper-mart.com; indiamedicoinstruments.com; americanayurveda.com; yarawellness.com; ijtre.com"
"2026-09-19","gemini:gemini-2.5-flash","Which Shirodhara device is best for a small clinic?","buy","yes","0.67","2","3","source:ageayurveda.com; mention:surya shirodhara","https://ageayurveda.com/products/surya-shirodhara; https://ageayurveda.com/blogs/news/introducing-the-worlds-first-patented-portable-shirodhara-device","","atmiyasurgical.com; justdial.com; ageayurveda.com; shirobliss.com; cristalmind.com; youtube.com; bioveda.com.au; massagesupplies.com; facebook.com; artofvedas.com; thespamart.com; ayurvedengineering.com; indiamart.com; vedanjaliwellness.com; bodymassageshop.com"
"2026-09-19","gemini:gemini-2.5-flash","What is the difference between a clinic Shirodhara pot and a portable device?","buy","yes","1.00","3","3","source:ageayurveda.com","https://ageayurveda.com/blogs/news/introducing-the-worlds-first-patented-portable-shirodhara-device; https://ageayurveda.com/products/surya-shirodhara","","copper-mart.com; artofvedas.com; ayurvedapanchakarmaequipments.com; ageayurveda.com; shirobliss.com; cristalmind.com; vedanjaliwellness.com; holistic-essentials.com; ayurvedapura.com; kawachibazar.com; americanayurveda.com; atmiyasurgical.com"
"2026-09-19","gemini:gemini-2.5-flash","What should I look for in a Shirodhara oil?","buy","no","0.00","0","3","","","","banyanbotanicals.com; universalcompanies.com; garrysun.com; ayurvedaplaza.com; komalherbals.com; ayurvedanama.org; pranabydimple.com; ayurvedacollege.com; colettepark.co.uk; keralaayurveda.com; heritageayurveda.de; sevayu.com; ask-ayurveda.com; vardhanayurveda.com; svasthaayurveda.com; ojas.us; spadreams.com; artofvedas.com"
"2026-09-19","gemini:gemini-2.5-flash","Which oil should I buy for Shirodhara at home?","buy","no","0.00","0","3","","","","ayurvedacollege.com; svasthaayurveda.com; spadreams.com; sevayu.com; ask-ayurveda.com; heritageayurveda.de; youtube.com; artofvedas.com; theayurvedaexperience.com"
"2026-09-19","gemini:gemini-2.5-flash","Where can I buy Vata Shirodhara oil?","buy","no","0.00","0","3","","","","ayurvedicherbsdirect.com; banyanbotanicals.com; komalherbals.com; swarndhraorganics.com; natureinbottle.com; ayurbeauty.us; garrysun.com; etsy.com; vadikherbs.com; herbsdirect.com"
"2026-09-19","gemini:gemini-2.5-flash","Where can I buy single-herb Ashwagandha capsules?","buy","no","0.00","0","3","","","","herbalgoodnessco.com; healthy.co.nz; walmart.com; pureformulas.com; pureencapsulationspro.com; bulksupplements.com; mountainroseherbs.com; alkalineherbshop.com; organicindiausa.com; naturesway.com; herbsforever.com; findyourhealthyplace.com; pureforyou.com; northamericanherbandspice.com; oregonswildharvest.com; innerbody.com; gardenoflife.com"
"2026-09-19","gemini:gemini-2.5-flash","What should I look for when buying Chyawanprash?","buy","no","0.00","0","3","","","","cureveda.com; ketavsmorningkick.com; pravek.com; thedesifood.com; ask-ayurveda.com; pgmdistributors.com; sehatokart.com; aahariq.com; quora.com; downtoearth.org.in; impileohealthcare.com; theswaddle.com; nih.gov; mapi.com; banyanbotanicals.com; lifespa.com; wikipedia.org; ayurvaid.com; krishnaayurved.com"
"2026-09-19","gemini:gemini-2.5-flash","What should I look for when buying a tongue scraper?","buy","no","0.00","0","3","","","","oravix.com; webmd.com; aspiredentallv.com; riverwalkdentaldevine.com; kindfamilydentistry.com; bigmouthtoothbrush.com; greatoralhealth.com; perforacare.com; davids-usa.com; nymag.com; scanoai.com; koppen.co; implasticfree.com"
"2026-09-19","gemini:gemini-2.5-flash","Which Ayurvedic brands publish their sourcing?","buy","no","0.00","0","3","","","","shankara.com; banyanbotanicals.com; aadhunikayurveda.com; euromonitor.com; karmicbeauty.in; pharmabiz.com; lezaaayurveda.com; ayubalwellness.com; indofolkwellness.com; pureoilsindia.com; maearthbotanicals.com; mapi.com"
"2026-09-19","gemini:gemini-2.5-flash","Which Ayurvedic brands publish third-party heavy metal test results?","buy","no","0.00","0","3","","","","banyanbotanicals.com; mapi.com; supplysidesj.com; keralaayurveda.store; ayush.com; komalherbals.com"
"2026-09-19","gemini:gemini","What should I check on an Ayurvedic product label before buying?","buy","no","0.00","0","0","","","fetch failed",""
"2026-09-19","gemini:gemini-2.5-flash","What does a home Shirodhara setup cost to run?","practical","yes","1.00","3","3","source:ageayurveda.com; mention:surya shirodhara","https://ageayurveda.com/products/surya-shirodhara","","ageayurveda.com; massagesupplies.com; justdial.com; ayurvedapanchakarmaequipments.com; etsy.com; artofvedas.com; universalcompanies.com; kayapalatcare.com; walmart.com; purespadirect.com; banyanbotanicals.com; accio.com; facebook.com; cristalmind.com; esteemservices.in; ayurvedengineering.com; indiamart.com; atmiyasurgical.com; touchamerica.com"
"2026-09-19","gemini:gemini-2.5-flash","How much oil does a Shirodhara session use?","practical","no","0.00","0","3","","","","ayurtimes.com; netmeds.com; universalcompanies.com; artofvedas.com; vibrantayurveda.com.au; massagemag.com"
"2026-09-19","gemini:gemini-2.5-flash","How many bottles of oil does a Shirodhara session need?","practical","no","0.00","0","3","","","","ayurtimes.com; artofvedas.com; universalcompanies.com; massagemag.com; netmeds.com; banyanbotanicals.com"
"2026-09-19","gemini:gemini-2.5-flash","Can Shirodhara oil be reused between sessions?","practical","no","0.00","0","3","","","","quora.com; ayurvedguru.com; vibrantayurveda.com.au; columbusayurveda.com; easyayurveda.com; ecoil.in; kairalicenters.com"
"2026-09-19","gemini:gemini-2.5-flash","How many litres should a Shirodhara vessel hold?","practical","no","0.00","0","3","","","","artofvedas.com; indiamart.com; avpayurveda.com; beautyleaders.com; holistic-essentials.com; indiamedicoinstruments.com; ayurvedapura.com; gotbullind.com; massagesupplies.com; copper-mart.com"
"2026-09-19","gemini:gemini-2.5-flash","Do you need a stand for a Shirodhara pot?","practical","no","0.00","0","3","","","","artofvedas.com; holistic-essentials.com; keralaayurveda.com; columbusayurveda.com; ayurvedapura.com; yarawellness.com; justdial.com; ayurayurvedicequipment.com; copper-mart.com; mypromolife.com; atmiyasurgical.com; ask-ayurveda.com"
"2026-09-19","gemini:gemini-2.5-flash","What equipment do you need for Shirodhara?","practical","no","0.00","0","3","","","","artofvedas.com; etsy.com; thespamart.com; chairsthatgive.com; touchamerica.com; shirobliss.com; massagesupplies.com; cristalmind.com; universalcompanies.com; copper-mart.com; garrysun.com; atmiyasurgical.com; keralatourism.org; bodymassageshop.com; easyayurveda.com; ayushpanchakarmaequipments.com; massagemag.com; yarawellness.com; youtube.com; shathayuveda.com; purespadirect.com; ayurvedainstitute.co.uk"
