Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Custom Label 0,Google Shopping / Condition,Google Shopping / Availability,Nighantu Crosslink URL
ashwagandha,Ashwagandha,"<p>Traditional Ayurvedic adaptogenic support formulated with pure Ashwagandha (Withania somnifera) root extract. Supports physiological resistance to occasional daily stress, promotes vitality, muscle strength, and restful sleep without sedation. Pacifies aggravated Vata dosha. Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Classical AYUSH licensed formulation.</p><h4>Key Ayurvedic Benefits:</h4><ul><li>Adaptogenic stress support</li><li>Vitality & energy maintenance</li><li>Supports natural restorative sleep</li><li>Vata pacification</li></ul><p><strong>Ayurvedic Herb Reference:</strong> Learn about the classical botanical grounding and pharmacological properties in our verified <a href='https://nighantu.ageayurveda.com/herb/ashwagandha/' target='_blank' rel='noopener'>Age Ayurveda Nighantu monograph</a>.</p><p><small>Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Classical AYUSH licensed production.</small></p>",Age Ayurveda,Health & Beauty > Health Care > Holistic & Alternative Medicine,Stress & Energy,"Ayurveda, Stress & Energy, Nighantu Verified",TRUE,Title,Default Title,AA-001,150,shopify,continue,manual,479,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0950/5715/0251/files/DSC04420copy.jpg?v=1756121134,Age Ayurveda Ashwagandha Capsules (500mg) | Withania Somnifera Stress & Vitality Support,Traditional Ayurvedic adaptogenic support formulated with pure Ashwagandha (Withania somnifera) root extract. Supports physiological resistance to occasional da,569,Compliant Supplement,new,in stock,https://nighantu.ageayurveda.com/herb/ashwagandha/
immuno-plus,Immuno Plus,"<p>A synergistic blend of 7 traditional herbs including Giloy (Guduchi), Tulsi, Amla, Kalmegh, and Mulethi. Formulated to support upper respiratory tract wellness, maintain healthy antioxidant defense, and balance Pitta-Kapha doshas. Manufactured by Nitya Naturals Pvt Ltd, Prayagraj under strict AYUSH Good Manufacturing Practices.</p><h4>Key Ayurvedic Benefits:</h4><ul><li>Immune system support</li><li>Respiratory wellness</li><li>Antioxidant defense</li><li>Pitta-Kapha balance</li></ul><p><strong>Ayurvedic Herb Reference:</strong> Learn about the classical botanical grounding and pharmacological properties in our verified <a href='https://nighantu.ageayurveda.com/herb/guduchi/' target='_blank' rel='noopener'>Age Ayurveda Nighantu monograph</a>.</p><p><small>Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Classical AYUSH licensed production.</small></p>",Age Ayurveda,Health & Beauty > Health Care > Holistic & Alternative Medicine,Immunity,"Ayurveda, Immunity, Nighantu Verified",TRUE,Title,Default Title,AA-002,150,shopify,continue,manual,488,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0950/5715/0251/files/DSC_3109.jpg?v=1756121121,Age Ayurveda Immuno Plus Capsules | 7-Herb Daily Immune & Respiratory Support,"A synergistic blend of 7 traditional herbs including Giloy (Guduchi), Tulsi, Amla, Kalmegh, and Mulethi. Formulated to support upper respiratory tract wellness,",569,Compliant Supplement,new,in stock,https://nighantu.ageayurveda.com/herb/guduchi/
acid-relief,Acid Relief,"<p>A cooling classical botanical formulation containing Amla, Haritaki, and traditional Avipattikar herbs. Promotes digestive comfort after meals, supports normal gastric acidity balance, and soothes Pitta-related internal heat. Does not inhibit natural digestive agni. Manufactured by Nitya Naturals Pvt Ltd, Prayagraj under AYUSH license.</p><h4>Key Ayurvedic Benefits:</h4><ul><li>Digestive comfort after meals</li><li>Normal gastric balance</li><li>Cooling Pitta shamana</li><li>Supports healthy agni</li></ul><p><strong>Ayurvedic Herb Reference:</strong> Learn about the classical botanical grounding and pharmacological properties in our verified <a href='https://nighantu.ageayurveda.com/formulation/avipattikar-churna/' target='_blank' rel='noopener'>Age Ayurveda Nighantu monograph</a>.</p><p><small>Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Classical AYUSH licensed production.</small></p>",Age Ayurveda,Health & Beauty > Health Care > Holistic & Alternative Medicine,Digestive Health,"Ayurveda, Digestive Health, Nighantu Verified",TRUE,Title,Default Title,AA-003,150,shopify,continue,manual,479,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0950/5715/0251/files/DSC_3084.jpg?v=1760359362,Age Ayurveda Acid Relief Capsules | Cooling Pitta Shamana & Digestive Fire Support,"A cooling classical botanical formulation containing Amla, Haritaki, and traditional Avipattikar herbs. Promotes digestive comfort after meals, supports normal ",569,Compliant Supplement,new,in stock,https://nighantu.ageayurveda.com/formulation/avipattikar-churna/
haridra,Haridra,"<p>Standardized high-potency Haridra (Curcuma longa) rhizome extract rich in natural curcuminoids. Supports joint flexibility, cellular antioxidant protection, and healthy skin vitality. Pacifies aggravated Vata and Kapha in musculoskeletal tissues. Manufactured by Nitya Naturals Pvt Ltd, Prayagraj under AYUSH license.</p><h4>Key Ayurvedic Benefits:</h4><ul><li>Joint flexibility and comfort</li><li>Antioxidant cellular defense</li><li>Skin vitality</li><li>Vata-Kapha balance</li></ul><p><strong>Ayurvedic Herb Reference:</strong> Learn about the classical botanical grounding and pharmacological properties in our verified <a href='https://nighantu.ageayurveda.com/herb/haridra/' target='_blank' rel='noopener'>Age Ayurveda Nighantu monograph</a>.</p><p><small>Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Classical AYUSH licensed production.</small></p>",Age Ayurveda,Health & Beauty > Health Care > Holistic & Alternative Medicine,Joint Health,"Ayurveda, Joint Health, Nighantu Verified",TRUE,Title,Default Title,AA-004,150,shopify,continue,manual,485,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0950/5715/0251/files/DSC04429.jpg?v=1756121096,Age Ayurveda Haridra Turmeric Capsules (500mg) | Curcumin Joint Mobility & Antioxidant Support,"Standardized high-potency Haridra (Curcuma longa) rhizome extract rich in natural curcuminoids. Supports joint flexibility, cellular antioxidant protection, and",569,Compliant Supplement,new,in stock,https://nighantu.ageayurveda.com/herb/haridra/
bowel-kare,Bowel Kare,"<p>Gentle, non-habit-forming herbal colon support incorporating Haritaki and classical carminative botanicals. Supports daily natural bowel elimination, promotes healthy intestinal motility, and pacifies Apana Vata. Manufactured by Nitya Naturals Pvt Ltd, Prayagraj under AYUSH license.</p><h4>Key Ayurvedic Benefits:</h4><ul><li>Supports natural bowel regularity</li><li>Promotes colon cleansing</li><li>Non-habit forming digestive care</li><li>Apana Vata support</li></ul><p><strong>Ayurvedic Herb Reference:</strong> Learn about the classical botanical grounding and pharmacological properties in our verified <a href='https://nighantu.ageayurveda.com/herb/haritaki/' target='_blank' rel='noopener'>Age Ayurveda Nighantu monograph</a>.</p><p><small>Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Classical AYUSH licensed production.</small></p>",Age Ayurveda,Health & Beauty > Health Care > Holistic & Alternative Medicine,Digestive Health,"Ayurveda, Digestive Health, Nighantu Verified",TRUE,Title,Default Title,AA-005,150,shopify,continue,manual,467,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0950/5715/0251/files/DSC_3024copy.jpg?v=1756121074,Age Ayurveda Bowel Kare Capsules | Gentle Colon Cleansing & Regularity Support,"Gentle, non-habit-forming herbal colon support incorporating Haritaki and classical carminative botanicals. Supports daily natural bowel elimination, promotes h",569,Compliant Supplement,new,in stock,https://nighantu.ageayurveda.com/herb/haritaki/
chyawanprash,Chyawanprash Avaleha,"<p>Authentic classical Rasayana paste prepared with wild-harvested fresh Amla (Phyllanthus emblica), clarified butter (ghee), raw honey, and over 40 traditional forest herbs. Rich in natural bioavailable Vitamin C. Supports seasonal immune resilience, respiratory vigor, and tissue nourishment (Ojas). Manufactured by Nitya Naturals Pvt Ltd, Prayagraj under classical AYUSH guidelines.</p><h4>Key Ayurvedic Benefits:</h4><ul><li>Classical Rasayana nourishment</li><li>Seasonal immune resilience</li><li>Upper respiratory support</li><li>Rich in natural Vitamin C</li></ul><p><strong>Ayurvedic Herb Reference:</strong> Learn about the classical botanical grounding and pharmacological properties in our verified <a href='https://nighantu.ageayurveda.com/formulation/chyawanprash/' target='_blank' rel='noopener'>Age Ayurveda Nighantu monograph</a>.</p><p><small>Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Classical AYUSH licensed production.</small></p>",Age Ayurveda,Health & Beauty > Health Care > Holistic & Alternative Medicine,Immunity,"Ayurveda, Immunity, Nighantu Verified",TRUE,Title,Default Title,AA-006,150,shopify,continue,manual,375,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0950/5715/0251/files/DSC_3009.jpg?v=1756121023,Age Ayurveda Classical Chyawanprash Avaleha (500g) | Pure Amla Rasayana for Family Vitality,"Authentic classical Rasayana paste prepared with wild-harvested fresh Amla (Phyllanthus emblica), clarified butter (ghee), raw honey, and over 40 traditional fo",569,Compliant Supplement,new,in stock,https://nighantu.ageayurveda.com/formulation/chyawanprash/
chyawan-cap,Chyawan Cap,"<p>The traditional therapeutic essence of Chyawanprash Rasayana encapsulated in convenient, sugar-free vegetable capsules. Ideal for modern schedules and diabetic lifestyle regimens. Supports cellular vitality, metabolic stamina, and respiratory health. Manufactured by Nitya Naturals Pvt Ltd, Prayagraj.</p><h4>Key Ayurvedic Benefits:</h4><ul><li>Convenient daily Rasayana</li><li>Sugar-free immunity formula</li><li>Metabolic stamina</li><li>Respiratory support</li></ul><p><strong>Ayurvedic Herb Reference:</strong> Learn about the classical botanical grounding and pharmacological properties in our verified <a href='https://nighantu.ageayurveda.com/formulation/chyawanprash/' target='_blank' rel='noopener'>Age Ayurveda Nighantu monograph</a>.</p><p><small>Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Classical AYUSH licensed production.</small></p>",Age Ayurveda,Health & Beauty > Health Care > Holistic & Alternative Medicine,Immunity,"Ayurveda, Immunity, Nighantu Verified",TRUE,Title,Default Title,AA-007,150,shopify,continue,manual,339,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0950/5715/0251/files/DSC_3016.jpg?v=1756121109,Age Ayurveda Chyawan Cap Capsules | Convenient Chyawanprash Extract on the Go,"The traditional therapeutic essence of Chyawanprash Rasayana encapsulated in convenient, sugar-free vegetable capsules. Ideal for modern schedules and diabetic ",569,Compliant Supplement,new,in stock,https://nighantu.ageayurveda.com/formulation/chyawanprash/
natural-sleep-aid,Natural Sleep Aid,"<p>Non-sedating herbal evening formulation featuring Indian Valerian (Tagara), Jatamansi, and Ashwagandha. Calms an overactive nervous system, eases racing thoughts, and supports natural circadian sleep cycles without morning grogginess. Pacifies Prana and Vyana Vata. Manufactured by Nitya Naturals Pvt Ltd, Prayagraj under AYUSH license.</p><h4>Key Ayurvedic Benefits:</h4><ul><li>Promotes restful natural sleep cycles</li><li>Eases daily mental restlessness</li><li>Non-groggy waking</li><li>Vata calming support</li></ul><p><strong>Ayurvedic Herb Reference:</strong> Learn about the classical botanical grounding and pharmacological properties in our verified <a href='https://nighantu.ageayurveda.com/herb/tagara/' target='_blank' rel='noopener'>Age Ayurveda Nighantu monograph</a>.</p><p><small>Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Classical AYUSH licensed production.</small></p>",Age Ayurveda,Health & Beauty > Health Care > Holistic & Alternative Medicine,Sleep & Stress,"Ayurveda, Sleep & Stress, Nighantu Verified",TRUE,Title,Default Title,AA-008,150,shopify,continue,manual,899,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0950/5715/0251/files/DSC_3045copy.jpg?v=1756120146,Age Ayurveda Natural Sleep Aid Capsules | Tagara & Ashwagandha Restful Night Formula,"Non-sedating herbal evening formulation featuring Indian Valerian (Tagara), Jatamansi, and Ashwagandha. Calms an overactive nervous system, eases racing thought",569,Compliant Supplement,new,in stock,https://nighantu.ageayurveda.com/herb/tagara/
adhd-ease,ADHD Ease,"<p>A classical six-herb Medhya Rasayana formulation featuring Brahmi (Bacopa monnieri), Shankhpushpi, and Mandukaparni. Supports mental alertness, sustained task focus, and emotional composure. Formulated to balance mental agitation (Chitta Vritti) while avoiding lethargy. Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Note: Supportive wellness formulation, not a prescription alternative.</p><h4>Key Ayurvedic Benefits:</h4><ul><li>Cognitive clarity & focus</li><li>Supports calm mental attention</li><li>Medhya Rasayana brain tonic</li><li>Non-drowsy</li></ul><p><strong>Ayurvedic Herb Reference:</strong> Learn about the classical botanical grounding and pharmacological properties in our verified <a href='https://nighantu.ageayurveda.com/herb/brahmi/' target='_blank' rel='noopener'>Age Ayurveda Nighantu monograph</a>.</p><p><small>Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Classical AYUSH licensed production.</small></p>",Age Ayurveda,Health & Beauty > Health Care > Holistic & Alternative Medicine,Brain Health,"Ayurveda, Brain Health, Nighantu Verified",TRUE,Title,Default Title,AA-009,150,shopify,continue,manual,960,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0950/5715/0251/files/DSC_3054copy.jpg?v=1756119810,Age Ayurveda Medhya Rasayana Capsules | Traditional Cognitive Focus & Calm Support,"A classical six-herb Medhya Rasayana formulation featuring Brahmi (Bacopa monnieri), Shankhpushpi, and Mandukaparni. Supports mental alertness, sustained task f",569,Compliant Supplement,new,in stock,https://nighantu.ageayurveda.com/herb/brahmi/
sugar-formula,Sugar Formula,"<p>A synergistic blend of Meshashringi (Gymnema sylvestre), Jamun seed, Vijaysar, and Karela. Traditionally used in Ayurveda to maintain healthy glucose metabolism within normal limits and support pancreatic digestive fire (Agni). Kapha-Pitta pacifying. Manufactured by Nitya Naturals Pvt Ltd, Prayagraj under AYUSH license.</p><h4>Key Ayurvedic Benefits:</h4><ul><li>Maintains healthy glucose balance</li><li>Pancreatic Agni support</li><li>Traditional Kapha-Pitta shamana</li><li>Supports carbohydrate metabolism</li></ul><p><strong>Ayurvedic Herb Reference:</strong> Learn about the classical botanical grounding and pharmacological properties in our verified <a href='https://nighantu.ageayurveda.com/herb/meshashringi/' target='_blank' rel='noopener'>Age Ayurveda Nighantu monograph</a>.</p><p><small>Manufactured by Nitya Naturals Pvt Ltd, Prayagraj. Classical AYUSH licensed production.</small></p>",Age Ayurveda,Health & Beauty > Health Care > Holistic & Alternative Medicine,Blood Sugar,"Ayurveda, Blood Sugar, Nighantu Verified",TRUE,Title,Default Title,AA-010,150,shopify,continue,manual,719,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0950/5715/0251/files/DSC_3051.jpg?v=1756121056,Age Ayurveda Sugar Formula Capsules | Madhumeha Shamana & Glucose Metabolism Support,"A synergistic blend of Meshashringi (Gymnema sylvestre), Jamun seed, Vijaysar, and Karela. Traditionally used in Ayurveda to maintain healthy glucose metabolism",569,Compliant Supplement,new,in stock,https://nighantu.ageayurveda.com/herb/meshashringi/
